ACRES,,BOROUGH,ZIPCODE
0.54,,Q,11372
3.009,,Q,11377
5.1,,Q,11385
0.244,,X,10453
0.59,,B,11238
1.024,,B,11212
2.264,,B,11233
1.148,,B,11219
1.385,,B,11218
1.581,,B,11230
0.213,,B,11226
1.595,,B,11233
1.67,,B,11216
0.567,,B,11217
1.034,,B,11206
1.974,,B,11230
3.56,,B,11203
1.795,,B,11221
0.032,,B,11231
0.433,,B,11231
1.375,,R,10312
0.057,,B,11233
0.059,,B,11233
0.011,,B,11208
0.064,,X,10451
1.381,,X,10451
0.013,,B,11238
0.072,,X,10458
0.74,,X,10458
6.882,,X,10451
136.568,,R,10305
0.997,,M,10128
0.022,,Q,11373
0.097,,B,11219
0.03,,X,10460
0.025,,X,10457
1.735,,M,10016
0.174,,M,10036
0.07,,M,10014
1.556,,M,10280
0.35,,M,10036
0.448,,M,10013
0.487,,B,11218
0.364,,B,11218
0.438,,B,11218
0.715,,M,10025
0.978,,Q,11355
0.035,,B,11231
0.149,,B,11211
0.057,,Q,11368
0.099,,Q,11370
0.083,,Q,11434
0.121,,Q,11435
0.115,,Q,11435
0.092,,Q,11434
0.101,,Q,11368
0.04,,Q,11373
0.25,,Q,11417
1.143,,M,10014
0.786,,M,10128
0.161,,B,11224
0.361,,M,10038
0.242,,M,10038
526.25,,B,11215
2.2,,B,11201
0.007,,X,10465
0.918,,Q,11105
0.327,,Q,11367
0.867,,Q,11375
0.061,,Q,11377
0.094,,Q,11377
0.064,,Q,11377
0.001,,Q,11385
0.354,,Q,11377
0.011,,Q,11377
4.635,,Q,11411
3.25,,Q,11367
1.033,,Q,11105
0.113,,Q,11412
1.161,,Q,11375
0.207,,Q,11419
0.157,,Q,11694
0.018,,Q,11423
1.23,,Q,11365
0.142,,Q,11370
5.2,,Q,11435
1.5,,Q,11415
1.37,,Q,11436
0.051,,Q,11436
1.427,,Q,11435
0.138,,Q,11355
0.074,,Q,11429
0.045,,Q,11415
0.065,,Q,11369
0.207,,Q,11373
0.057,,Q,11433
0.013,,Q,11385
0.14,,Q,11369
0.421,,Q,11354
0.09,,Q,11369
0.01,,Q,11101
0.006,,Q,11373
0.896,,Q,11377
0.071,,Q,11377
1.16,,Q,11102
2.2,,Q,11102
1.295,,Q,11102
0.214,,Q,11377
0.02,,Q,11373
0.044,,Q,11377
0.1,,Q,11368
0.13,,Q,11433
0.785,,R,10306
1.5,,B,11233
0.06,,B,11223
0.006,,R,10312
0.006,,R,10312
3.464,,R,10312
1.08,,B,"11215, 11232"
0.636,,R,10312
0.554,,R,10312
7.79,,B,11238
5.848,,R,10312
1.6,,R,10312
0.735,,R,10312
0.731,,R,10301
0.03,,Q,11373
0.096,,X,10460
0.5,,X,10471
0.1,,B,11206
0.191,,B,11212
0.487,,B,11235
0.724,,R,10312
0.019,,Q,11378
13.826,,Q,11694
0.011,,Q,"11373, 11379"
0.002,,Q,11378
0.007,,Q,"11373, 11379"
0.3,,R,10312
0.005,,B,11219
0.213,,B,11212
0.07,,B,11211
0.089,,R,10301
0.363,,M,10038
0.891,,M,10002
0.584,,M,10032
6.402,,R,10305
0.071,,R,10314
1.065,,R,10308
2.913,,B,11201
1.187,,B,11214
4.947,,B,11208
0.047,,M,10026
205.977,,R,10301
32.86,,Q,11692
4.417,,X,10457
302.693,,R,"10309, 10312"
0.113,,R,10301
0.328,,B,11236
0.001,,B,11229
1.145,,R,10314
0.9,,M,10029
0.096,,M,10007
13.938,,R,10305
2.288,,R,10309
0.11,,B,11238
0.11,,R,10304
1.02,,R,10305
5.765,,R,10306
0.408,,R,10301
0.271,,R,10303
2.335,,R,10305
0.49,,R,10302
0.135,,B,11211
24.218,,B,11220
0.066,,B,11211
2.76,,B,11207
1.777,,R,10304
2.889,,R,10314
7.395,,R,10314
1.324,,R,10302
0.918,,R,10305
3.024,,R,10301
6.379,,B,11204
8.108,,R,10310
5.317,,B,11209
30.168,,B,"11201, 11205"
11.193,,R,10303
6.563,,R,10314
0.287,,X,10452
1.43,,R,10314
1.053,,X,10465
1.368,,X,10462
1,,X,10462
0.444,,X,10461
1.11,,X,"10462, 10472"
1.521,,R,10301
0.704,,Q,11694
1.361,,B,11225
0.025,,B,11212
1.158,,B,11238
6.401,,B,11211
1.101,,B,11206
0.012,,B,11221
1.78,,R,"10304, 10306"
0.213,,X,10453
7.683,,Q,11433
0.599,,Q,11433
0.018,,M,10031
0.04,,M,10025
0.119,,M,10009
